ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A80,UCM17 Blood 5,Unknown,1,IRF7,Test,999,0,Fail,0.018201155,999,999,0,
S96-A79,UCM17 Blood 5,Unknown,1,IL4R,Test,999,0,Fail,0.018201155,999,999,0,
S96-A90,UCM17 Blood 5,Unknown,1,IL17A,Test,999,0,Fail,0.018201155,999,999,0,
S96-A89,UCM17 Blood 5,Unknown,1,IFIT1,Test,15.65353557,1,Pass,0.018201155,79.7330561,999,1,
S96-A88,UCM17 Blood 5,Unknown,1,GATA3,Test,999,0,Fail,0.018201155,999,999,0,
S96-A87,UCM17 Blood 5,Unknown,1,CTLA4,Test,15.09136547,1,Pass,0.018201155,84.26056528,999,1,
S96-A86,UCM17 Blood 5,Unknown,1,CD3E,Test,14.21684534,0,Fail,0.018201155,999,999,0,
S96-A85,UCM17 Blood 5,Unknown,1,CCR2,Test,16.72113392,1,Pass,0.018201155,82.69111628,999,1,
S96-A96,UCM17 Blood 5,Unknown,1,ZEB2,Test,999,0,Fail,0.018201155,999,999,0,
S96-A95,UCM17 Blood 5,Unknown,1,TNF,Test,19.71463565,0,Fail,0.018201155,999,88.95562325,0,
S96-A94,UCM17 Blood 5,Unknown,1,RPL13A,Test,13.78570333,1,Pass,0.018201155,89.66638277,999,1,
S96-A93,UCM17 Blood 5,Unknown,1,PDCD1,Test,25.03365454,0,Fail,0.018201155,999,79.22310642,0,
S96-A92,UCM17 Blood 5,Unknown,1,IRF9,Test,14.77733133,0,Fail,0.018201155,87.91221704,82.62720637,0.353454762,
S96-A91,UCM17 Blood 5,Unknown,1,IL5,Test,999,0,Fail,0.018201155,999,999,0,
S06-A01,TNet001 12-20 41,Unknown,1,AIM2,Test,999,0,Fail,0.018201155,999,999,0,
S06-A02,TNet001 12-20 41,Unknown,1,CCR3,Test,15.42370624,1,Pass,0.018201155,77.91416808,999,1,
S06-A03,TNet001 12-20 41,Unknown,1,CD4,Test,999,0,Fail,0.018201155,999,999,0,
S06-A04,TNet001 12-20 41,Unknown,1,CXCL10,Test,16.38166375,0.949901156,Pass,0.018201155,80.27145624,999,1,
S06-A05,TNet001 12-20 41,Unknown,1,GSK3A,Test,999,0,Fail,0.018201155,999,999,0,
S06-A06,TNet001 12-20 41,Unknown,1,IFIT3,Test,14.67368659,1,Pass,0.018201155,79.77515109,999,1,
S06-A07,TNet001 12-20 41,Unknown,1,IL2,Test,999,0,Fail,0.018201155,999,999,0,
S06-A08,TNet001 12-20 41,Unknown,1,IL5RA,Test,999,0,Fail,0.018201155,999,999,0,
S06-A09,TNet001 12-20 41,Unknown,1,ISG15,Test,999,0,Fail,0.018201155,999,999,0,
S06-A10,TNet001 12-20 41,Unknown,1,PPARA,Test,999,0,Fail,0.018201155,999,999,0,
S06-A11,TNet001 12-20 41,Unknown,1,SOCS3,Test,999,0,Fail,0.018201155,999,999,0,
S06-A12,TNet001 12-20 41,Unknown,1,TNFAIP3,Test,999,0,Fail,0.018201155,999,999,0,
S06-A13,TNet001 12-20 41,Unknown,1,B2M,Test,12.23042174,1,Pass,0.018201155,83.26270939,999,1,
S06-A14,TNet001 12-20 41,Unknown,1,CCR4,Test,14.99762166,0,Fail,0.018201155,999,77.00060302,0,
S06-A15,TNet001 12-20 41,Unknown,1,CD40,Test,15.55884106,1,Pass,0.018201155,87.79059456,999,1,
S06-A16,TNet001 12-20 41,Unknown,1,CXCL9,Test,999,0,Fail,0.018201155,999,999,0,
S06-A17,TNet001 12-20 41,Unknown,1,GSK3B,Test,999,0,Fail,0.018201155,999,999,0,
S06-A18,TNet001 12-20 41,Unknown,1,IFNAR1,Test,999,0,Fail,0.018201155,999,999,0,
S06-A19,TNet001 12-20 41,Unknown,1,IL21,Test,999,0,Fail,0.018201155,999,999,0,
S06-A20,TNet001 12-20 41,Unknown,1,IL7,Test,999,0,Fail,0.018201155,999,999,0,
S06-A21,TNet001 12-20 41,Unknown,1,JAK1,Test,999,0,Fail,0.018201155,999,999,0,
S06-A22,TNet001 12-20 41,Unknown,1,PPARG,Test,999,0,Fail,0.018201155,999,999,0,
